HUANGSHAN TOURISM DEVELOPMENT,"16,800","12,537.14","13,305.60",768.46,CHINA,Consumer Discretionary,Consumer Services
WISDOM EDUCATION INTERNATIONAL,"320,000","161,269.39","11,622.35","(149,647.04)",CHINA,Consumer Discretionary,Consumer Services
CHINA XINHUA EDUCATION GROUP L,"41,000","10,871.65","6,896.95","(3,974.70)",CHINA,Consumer Discretionary,Consumer Services
QEEKA HOME CAYMAN INC,"73,500","14,471.70","4,168.18","(10,303.52)",CHINA,Consumer Discretionary,Consumer Services
ALIBABA GROUP HOLDING LTD,"5,295,686","96,559,158.37","75,518,164.71","(21,040,993.66)",CHINA,Consumer Discretionary,Retailing
MEITUAN,"1,110,664","30,438,321.18","27,487,233.70","(2,951,087.48)",CHINA,Consumer Discretionary,Retailing
JD.COM INC,"555,781","15,386,675.35","17,905,228.97","2,518,553.62",CHINA,Consumer Discretionary,Retailing
CHINA TOURISM GROUP DUTY FREE,"144,067","1,309,741.93","5,012,850.70","3,703,108.77",CHINA,Consumer Discretionary,Retailing
JD HEALTH INTERNATIONAL INC,"599,459","5,537,445.19","4,702,043.65","(835,401.54)",CHINA,Consumer Discretionary,Retailing
CHINA TOURISM GROUP DUTY FREE,"97,200","2,907,429.56","3,382,100.60","474,671.04",CHINA,Consumer Discretionary,Retailing
CHINA YONGDA AUTOMOBILES SERVI,"1,471,500","1,867,280.56","1,391,436.16","(475,844.40)",CHINA,Consumer Discretionary,Retailing
ZHONGSHENG GROUP HOLDINGS LTD,"86,000","573,306.84","606,617.86","33,311.02",CHINA,Consumer Discretionary,Retailing
CHINA MEIDONG AUTO HOLDINGS LT,"120,000","310,541.10","377,726.38","67,185.28",CHINA,Consumer Discretionary,Retailing
TOPSPORTS INTERNATIONAL HOLDIN,"270,000","330,287.25","245,330.99","(84,956.26)",CHINA,Consumer Discretionary,Retailing
PING AN HEALTHCARE AND TECHNOL,"75,000","368,789.89","222,220.10","(146,569.79)",CHINA,Consumer Discretionary,Retailing
CHINA HARMONY AUTO HOLDING LTD,"361,000","212,124.52","163,778.29","(48,346.23)",CHINA,Consumer Discretionary,Retailing
MAOYAN ENTERTAINMENT,"158,400","204,689.77","161,489.50","(43,200.27)",CHINA,Consumer Discretionary,Retailing
XINHUA WINSHARE PUBLISHING AND,"202,000","143,745.45","143,643.07",(102.38),CHINA,Consumer Discretionary,Retailing
SHANGHAI YUYUAN TOURIST MART G,"91,900","117,837.56","129,593.24","11,755.68",CHINA,Consumer Discretionary,Retailing
WUCHAN ZHONGDA GROUP CO LTD,"137,300","98,132.65","105,216.23","7,083.58",CHINA,Consumer Discretionary,Retailing
ZHEJIANG ORIENT FINANCIAL HOLD,"133,250","107,464.28","79,819.03","(27,645.25)",CHINA,Consumer Discretionary,Retailing
SINOMACH AUTOMOBILE CO LTD,"51,700","52,196.80","77,307.11","25,110.31",CHINA,Consumer Discretionary,Retailing
GOLDEN EAGLE RETAIL GROUP LTD,"105,000","134,119.91","73,996.91","(60,123.00)",CHINA,Consumer Discretionary,Retailing
EEKA FASHION HOLDINGS LTD,"42,500","62,494.49","69,001.34","6,506.85",CHINA,Consumer Discretionary,Retailing
RAINBOW DIGITAL COMMERCIAL CO,"59,200","81,188.33","63,053.04","(18,135.29)",CHINA,Consumer Discretionary,Retailing
CHONGQING DEPARTMENT STORE CO,"18,900","91,631.13","60,898.53","(30,732.60)",CHINA,Consumer Discretionary,Retailing
WUHAN DEPARTMENT STORE GROUP C,"35,800","72,610.47","59,360.95","(13,249.52)",CHINA,Consumer Discretionary,Retailing
LIAONING CHENG DA CO LTD,"26,900","87,676.99","58,587.46","(29,089.53)",CHINA,Consumer Discretionary,Retailing
COGOBUY GROUP,"193,000","141,230.14","56,323.79","(84,906.35)",CHINA,Consumer Discretionary,Retailing
SUNING.COM CO LTD,"158,777","216,313.67","54,314.76","(161,998.91)",CHINA,Consumer Discretionary,Retailing
POP MART INTERNATIONAL GROUP L,"11,200","43,225.81","54,094.90","10,869.09",CHINA,Consumer Discretionary,Retailing
ANHUI XINHUA MEDIA CO LTD,"68,200","54,925.11","49,206.94","(5,718.17)",CHINA,Consumer Discretionary,Retailing
LANZHOU LISHANG GUOCHAO INDUST,"44,100","49,215.65","48,024.29","(1,191.36)",CHINA,Consumer Discretionary,Retailing
CHENGDU FUSEN NOBLE-HOUSE INDU,"24,737","56,909.90","46,522.99","(10,386.91)",CHINA,Consumer Discretionary,Retailing
CHINA ZHENGTONG AUTO SERVICES,"574,500","258,244.02","43,927.90","(214,316.12)",CHINA,Consumer Discretionary,Retailing
WANGFUJING GROUP CO LTD,"11,200","49,656.26","43,466.23","(6,190.03)",CHINA,Consumer Discretionary,Retailing
DASHANG CO LTD,"15,300","52,819.34","40,910.93","(11,908.41)",CHINA,Consumer Discretionary,Retailing
BAOZUN INC,"10,500","52,969.85","38,737.98","(14,231.87)",CHINA,Consumer Discretionary,Retailing
GOME RETAIL HOLDINGS LTD,"784,000","146,711.28","37,966.35","(108,744.93)",CHINA,Consumer Discretionary,Retailing
HLA GROUP CORP LTD,"38,000","32,890.59","26,963.24","(5,927.35)",CHINA,Consumer Discretionary,Retailing
GRAND BAOXIN AUTO GROUP LTD,"279,536","104,109.59","20,661.65","(83,447.94)",CHINA,Consumer Discretionary,Retailing
MULSANNE GROUP HOLDING LTD,"38,500","30,605.07","19,282.01","(11,323.06)",CHINA,Consumer Discretionary,Retailing
VISUAL CHINA GROUP CO LTD,"8,300","20,868.36","17,717.61","(3,150.75)",CHINA,Consumer Discretionary,Retailing
CHINA GRAND AUTOMOTIVE SERVICE,"44,300","21,665.87","17,271.86","(4,394.01)",CHINA,Consumer Discretionary,Retailing
MAOYE INTERNATIONAL HOLDINGS L,"435,000","57,894.65","13,748.01","(44,146.64)",CHINA,Consumer Discretionary,Retailing
SHENZHEN AGRICULTURAL PRODUCTS,"97,300","104,576.79","90,115.47","(14,461.32)",CHINA,Consumer Staples,Food & Staples Retailing
SHANGHAI BAILIAN GROUP CO LTD,"38,600","83,512.95","76,170.18","(7,342.77)",CHINA,Consumer Staples,Food & Staples Retailing
YONGHUI SUPERSTORES CO LTD,"112,184","123,935.79","71,724.83","(52,210.96)",CHINA,Consumer Staples,Food & Staples Retailing
YIXINTANG PHARMACEUTICAL GROUP,"16,900","80,686.27","57,887.60","(22,798.67)",CHINA,Consumer Staples,Food & Staples Retailing
CHENGDU HONGQI CHAIN CO LTD,"67,700","64,362.44","51,071.06","(13,291.38)",CHINA,Consumer Staples,Food & Staples Retailing
BETTER LIFE COMMERCIAL CHAIN S,"44,200","72,040.96","45,756.24","(26,284.72)",CHINA,Consumer Staples,Food & Staples Retailing
VATS LIQUOR CHAIN STORE MANAGE,"6,300","21,613.76","41,267.20","19,653.44",CHINA,Consumer Staples,Food & Staples Retailing
LAOBAIXING PHARMACY CHAIN JSC,"5,460","34,640.80","27,633.18","(7,007.62)",CHINA,Consumer Staples,Food & Staples Retailing
JIAJIAYUE GROUP CO LTD,"12,100","47,917.14","25,738.91","(22,178.23)",CHINA,Consumer Staples,Food & Staples Retailing
KWEICHOW MOUTAI CO LTD,"67,511","7,899,069.58","20,623,514.85","12,724,445.27",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
TINGYI CAYMAN ISLANDS HOLDING,"4,631,579","7,335,689.00","7,932,817.42","597,128.42",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
WULIANGYE YIBIN CO LTD,"221,400","6,648,880.57","6,678,413.29","29,532.72",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
WULIANGYE YIBIN CO LTD,"208,975","2,682,186.32","6,303,619.77","3,621,433.45",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
FOSHAN HAITIAN FLAVOURING & FO,"463,938","7,572,204.67","6,262,258.61","(1,309,946.06)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
KWEICHOW MOUTAI CO LTD,"17,125","3,910,802.99","5,231,409.57","1,320,606.58",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
TSINGTAO BREWERY CO LTD,"365,167","2,320,623.58","3,797,351.48","1,476,727.90",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
WANT WANT CHINA HOLDINGS LTD,"3,931,273","3,409,338.64","3,416,777.45","7,438.81",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
JIANGSU YANGHE BREWERY JOINT-S,"93,300","2,251,369.91","2,552,603.72","301,233.81",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
FOSHAN HAITIAN FLAVOURING & FO,"157,689","1,338,088.51","2,128,494.10","790,405.59",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
INNER MONGOLIA YILI INDUSTRIAL,"353,160","1,903,558.98","2,054,820.08","151,261.10",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
UNI-PRESIDENT CHINA HOLDINGS L,"2,065,999","1,904,327.81","1,771,920.72","(132,407.09)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
CHACHA FOOD CO LTD,"193,110","1,866,539.83","1,642,255.70","(224,284.13)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
CHINA FEIHE LTD,"1,051,000","2,353,374.19","1,208,115.26","(1,145,258.93)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
COFCO JOYCOME FOODS LTD,"1,014,000","401,515.63","491,044.29","89,528.66",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
DALI FOODS GROUP CO LTD,"834,000","503,381.71","443,201.50","(60,180.21)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
YIHAI INTERNATIONAL HOLDING LT,"97,000","604,474.82","349,830.19","(254,644.63)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
NONGFU SPRING CO LTD,"47,600","280,153.34","273,275.61","(6,877.73)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
ZHOU HEI YA INTERNATIONAL HOLD,"326,000","283,796.16","224,341.94","(59,454.22)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
NEW HOPE LIUHE CO LTD,"92,400","361,554.88","211,182.65","(150,372.23)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
WENS FOODSTUFFS GROUP CO LTD,"65,640","210,218.59","208,756.05","(1,462.54)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
CHINA MODERN DAIRY HOLDINGS LT,"1,294,000","207,964.06","194,587.71","(13,376.35)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
SHANXI XINGHUACUN FEN WINE FAC,"2,940","71,033.35","142,645.54","71,612.19",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
SMOORE INTERNATIONAL HOLDINGS,"43,000","281,654.93","132,612.04","(149,042.89)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
LUZHOU LAOJIAO CO LTD,"3,300","78,809.36","121,533.54","42,724.18",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
FUJIAN SUNNER DEVELOPMENT CO L,"40,600","156,237.64","116,324.04","(39,913.60)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
TONGWEI CO LTD,"13,000","69,008.78","116,245.16","47,236.38",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
BEIJING YANJING BREWERY CO LTD,"79,500","88,378.90","114,719.99","26,341.09",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
ANHUI GUJING DISTILLERY CO LTD,"6,700","84,229.85","104,509.40","20,279.55",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
MUYUAN FOODS CO LTD,"11,620","78,043.25","95,937.94","17,894.69",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
BRIGHT DAIRY & FOOD CO LTD,"46,000","110,250.25","86,787.27","(23,462.98)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
JIANGSU PROVINCIAL AGRICULTURA,"38,600","76,345.46","80,667.73","4,322.27",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
BEIJING SHUNXIN AGRICULTURE CO,"20,100","93,002.08","80,528.51","(12,473.57)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
BEIJING DABEINONG TECHNOLOGY G,"67,900","84,470.85","79,216.50","(5,254.35)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
WELLHOPE FOODS CO LTD,"42,500","92,458.38","61,137.83","(31,320.55)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
YANTAI CHANGYU PIONEER WINE CO,"12,000","66,388.26","53,311.03","(13,077.23)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
SHANGHAI MALING AQUARIUS CO LT,"44,500","66,914.87","52,980.15","(13,934.72)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
HENAN SHUANGHUI INVESTMENT & D,"9,700","45,765.71","42,455.52","(3,310.19)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
TSINGTAO BREWERY CO LTD,"2,600","42,329.46","40,361.50","(1,967.96)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
INNER MONGOLIA YILI INDUSTRIAL,"6,866","29,915.32","39,949.02","10,033.70",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
LUONIUSHAN CO LTD,"38,600","57,160.63","39,324.79","(17,835.84)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
CHINA SHENGMU ORGANIC MILK LTD,"731,000","130,002.56","37,728.68","(92,273.88)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
GUANGZHOU ZHUJIANG BREWERY CO,"29,600","42,523.43","37,495.78","(5,027.65)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
QIANHE CONDIMENT AND FOOD CO L,"13,680","42,404.35","35,353.06","(7,051.29)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
SHENGUAN HOLDINGS GROUP LTD,"658,000","144,071.96","35,218.78","(108,853.18)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
SANQUAN FOOD CO LTD,"11,640","31,800.88","34,062.95","2,262.07",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
HEBEI CHENGDE LOLO CO,"21,600","23,720.42","31,233.74","7,513.32",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
COFCO SUGAR HOLDING CO LTD,"23,800","36,847.22","26,735.58","(10,111.64)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
GUANGDONG HAID GROUP CO LTD,"2,900","37,647.20","25,996.59","(11,650.61)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
TIANYUN INTERNATIONAL HOLDINGS,"132,000","23,984.35","25,737.39","1,753.04",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
JIANGSU HENGSHUN VINEGAR INDUS,"12,800","42,052.83","24,665.76","(17,387.07)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
YASHILI INTERNATIONAL HOLDINGS,"165,000","33,818.25","22,709.46","(11,108.79)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
THREE SQUIRRELS INC,"6,000","43,062.92","22,451.94","(20,610.98)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
SHANDONG MINHE ANIMAL HUSBANDR,"8,900","23,146.48","21,192.06","(1,954.42)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
JINHUI LIQUOR CO LTD,"3,900","20,710.56","19,802.07",(908.49),CHINA,Consumer Staples,"Food, Beverage & Tobacco"
JIUGUI LIQUOR CO LTD,700,"26,184.93","19,429.51","(6,755.42)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
HONWORLD GROUP LTD,"72,000","38,466.66","19,427.17","(19,039.49)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
TOLY BREAD CO LTD,"7,560","23,091.54","18,690.23","(4,401.31)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
ANHUI GUJING DISTILLERY CO LTD,500,"19,912.44","18,647.21","(1,265.23)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
SUNJUICE HOLDINGS CO LTD,"2,000","35,262.52","18,430.39","(16,832.13)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
YANKERSHOP FOOD CO LTD,"1,400","20,556.14","18,391.17","(2,164.97)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
SHENZHEN KINGKEY SMART AGRICUL,"6,300","21,553.99","17,476.21","(4,077.78)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
ANHUI GENUINE NEW MATERIALS CO,"7,980","20,932.51","15,329.88","(5,602.63)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
YANTAI SHUANGTA FOOD CO LTD,"11,700","24,343.37","14,838.44","(9,504.93)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
YIHAI KERRY ARAWANA HOLDINGS C,"1,800","24,552.06","14,525.19","(10,026.87)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
NEW HOPE DAIRY CO LTD,"6,800","15,682.66","13,195.11","(2,487.55)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
CHINA YURUN FOOD GROUP LTD,"159,000","18,826.53","13,170.72","(5,655.81)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
BESTORE CO LTD,"3,000","22,402.84","12,830.32","(9,572.52)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
SHANDONG YISHENG LIVESTOCK & P,"9,100","17,488.99","12,737.25","(4,751.74)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
JIANGSU LIHUA ANIMAL HUSBANDRY,"2,000","10,775.71","11,875.77","1,100.06",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
TENFU CAYMAN HOLDINGS CO LTD,"18,000","12,677.64","11,813.51",(864.13),CHINA,Consumer Staples,"Food, Beverage & Tobacco"
TANGRENSHEN GROUP CO LTD,"7,600","7,754.15","9,661.35","1,907.20",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
JIANGXI HUANGSHANGHUANG GROUP,"3,000","10,572.84","5,543.52","(5,029.32)",CHINA,Consumer Staples,"Food, Beverage & Tobacco"
HENGAN INTERNATIONAL GROUP CO,"812,504","5,698,480.16","3,815,593.62","(1,882,886.54)",CHINA,Consumer Staples,Household & Personal Products
OPPLE LIGHTING CO LTD,"1,013,899","2,886,782.71","2,642,925.72","(243,856.99)",CHINA,Consumer Staples,Household & Personal Products
PROYA COSMETICS CO LTD,"46,578","894,474.42","1,149,299.26","254,824.84",CHINA,Consumer Staples,Household & Personal Products
CHLITINA HOLDING LTD,"11,000","83,744.49","71,770.90","(11,973.59)",CHINA,Consumer Staples,Household & Personal Products
C&S PAPER CO LTD,"19,700","52,238.97","36,843.88","(15,395.09)",CHINA,Consumer Staples,Household & Personal Products
GUANGDONG SIRIO PHARMA CO LTD,"4,700","34,691.67","21,919.25","(12,772.42)",CHINA,Consumer Staples,Household & Personal Products
GOLDEN THROAT HOLDINGS GROUP C,"41,500","10,515.82","10,788.91",273.09,CHINA,Consumer Staples,Household & Personal Products
NVC INTERNATIONAL HOLDINGS LTD,"651,000","84,261.69","10,619.16","(73,642.53)",CHINA,Consumer Staples,Household & Personal Products
BLUE MOON GROUP HOLDINGS LTD,"5,500","4,277.55","4,696.09",418.54,CHINA,Consumer Staples,Household & Personal Products
CHINA PETROLEUM & CHEMICAL COR,"20,285,180","15,309,916.30","9,125,416.29","(6,184,500.01)",CHINA,Energy,Energy
CHINA SHENHUA ENERGY CO LTD,"1,344,198","3,122,307.73","3,854,294.33","731,986.60",CHINA,Energy,Energy
PETROCHINA CO LTD,"6,754,341","4,952,021.00","3,219,242.55","(1,732,778.45)",CHINA,Energy,Energy
YANKUANG ENERGY GROUP CO LTD,"426,439","2,134,638.75","2,514,947.31","380,308.56",CHINA,Energy,Energy
SHAANXI COAL INDUSTRY CO LTD,"716,600","1,175,628.28","2,267,240.50","1,091,612.22",CHINA,Energy,Energy
PINGDINGSHAN TIANAN COAL MININ,"977,100","1,206,889.89","1,983,596.35","776,706.46",CHINA,Energy,Energy
YANTAI JEREH OILFIELD SERVICES,"286,974","1,715,856.77","1,727,596.95","11,740.18",CHINA,Energy,Energy
CHINA OILFIELD SERVICES LTD,"1,691,318","1,541,302.26","1,657,489.27","116,187.01",CHINA,Energy,Energy
PETROCHINA CO LTD,"1,612,900","1,137,087.54","1,276,962.49","139,874.95",CHINA,Energy,Energy
YANZHOU COAL MINING CO LTD,"366,043","316,617.76","1,147,536.03","830,918.27",CHINA,Energy,Energy
HUOLINHE OPENCUT COAL INDUSTRY,"407,627","825,582.00","871,968.49","46,386.49",CHINA,Energy,Energy
JIZHONG ENERGY RESOURCES CO LT,"724,524","470,612.12","807,395.70","336,783.58",CHINA,Energy,Energy
CHINA SUNTIEN GREEN ENERGY COR,"1,356,000","505,459.18","691,223.98","185,764.80",CHINA,Energy,Energy
COSCO SHIPPING ENERGY TRANSPOR,"764,000","417,599.33","486,813.35","69,214.02",CHINA,Energy,Energy
CHINA COAL ENERGY CO LTD,"521,000","255,373.69","441,528.24","186,154.55",CHINA,Energy,Energy
GUANGHUI ENERGY CO LTD,"161,900","73,746.47","254,907.31","181,160.84",CHINA,Energy,Energy
CHINA OILFIELD SERVICES LTD,"121,962","320,726.02","254,152.03","(66,573.99)",CHINA,Energy,Energy
SHAN XI HUA YANG GROUP NEW ENE,"97,700","77,854.71","225,631.06","147,776.35",CHINA,Energy,Energy
JINNENG HOLDING SHANXI COAL IN,"77,500","70,117.58","205,491.98","135,374.40",CHINA,Energy,Energy
SHANXI COKING COAL ENERGY GROU,"99,100","84,289.15","198,220.73","113,931.58",CHINA,Energy,Energy
CHINA SHENHUA ENERGY CO LTD,"38,600","121,299.42","192,011.11","70,711.69",CHINA,Energy,Energy
SHANXI LU'AN ENVIRONMENTAL ENE,"81,204","75,894.40","177,345.28","101,450.88",CHINA,Energy,Energy
CHINA PETROLEUM & CHEMICAL COR,"229,900","156,828.86","140,118.01","(16,710.85)",CHINA,Energy,Energy
YANKUANG ENERGY GROUP CO LTD,"44,000","110,747.37","137,938.95","27,191.58",CHINA,Energy,Energy
GUIZHOU PANJIANG REFINED COAL,"78,400","82,277.61","102,709.47","20,431.86",CHINA,Energy,Energy
OFFSHORE OIL ENGINEERING CO LT,"135,000","103,521.72","83,690.60","(19,831.12)",CHINA,Energy,Energy
KINETIC DEVELOPMENT GROUP LTD,"1,028,000","85,314.62","79,913.85","(5,400.77)",CHINA,Energy,Energy
ANTON OILFIELD SERVICES GROUP/,"1,346,000","136,609.06","78,046.88","(58,562.18)",CHINA,Energy,Energy
ANHUI HENGYUAN COAL INDUSTRY A,"62,500","53,440.99","73,756.78","20,315.79",CHINA,Energy,Energy
PETROCHINA CO LTD,"1,200","58,624.13","55,968.00","(2,656.13)",CHINA,Energy,Energy
INNER MONGOLIA YITAI COAL CO L,"37,100","37,616.61","54,276.88","16,660.27",CHINA,Energy,Energy
CHINA PETROLEUM & CHEMICAL COR,"1,200","57,545.61","53,748.00","(3,797.61)",CHINA,Energy,Energy
CANGZHOU MINGZHU PLASTIC CO LT,"51,700","54,885.47","48,036.99","(6,848.48)",CHINA,Energy,Energy
SINOPEC OILFIELD SERVICE CORP,"604,000","54,575.82","46,953.27","(7,622.55)",CHINA,Energy,Energy
SHANXI BLUE FLAME HOLDING CO L,"29,800","43,709.42","46,518.68","2,809.26",CHINA,Energy,Energy
INNER MONGOLIA YITAI COAL CO L,"27,400","46,091.32","44,908.60","(1,182.72)",CHINA,Energy,Energy
SHANDONG MOLONG PETROLEUM MACH,"95,200","32,056.40","38,822.73","6,766.33",CHINA,Energy,Energy
KINETIC MINES AND ENERGY LTD,"318,000","11,841.83","24,720.43","12,878.60",CHINA,Energy,Energy
PETROCHINA CO LTD,"28,900","30,013.83","22,880.66","(7,133.17)",CHINA,Energy,Energy
HONGHUA GROUP LTD,"683,000","86,921.13","22,195.25","(64,725.88)",CHINA,Energy,Energy
JUTAL OFFSHORE OIL SERVICES LT,"172,000","22,504.86","17,097.09","(5,407.77)",CHINA,Energy,Energy
COSCO SHIPPING ENERGY TRANSPOR,"9,700","8,789.20","14,968.11","6,178.91",CHINA,Energy,Energy
GUIZHOU GAS GROUP CORP LTD,"12,400","23,771.83","14,429.59","(9,342.24)",CHINA,Energy,Energy
SPT ENERGY GROUP INC,"390,000","46,726.79","14,164.74","(32,562.05)",CHINA,Energy,Energy
DALIPAL HOLDINGS LTD,"36,000","10,960.09","13,304.53","2,344.44",CHINA,Energy,Energy
CHINA CONSTRUCTION BANK CORP,"55,148,569","42,106,373.36","37,037,697.23","(5,068,676.13)",CHINA,Financials,Banks
CHINA MERCHANTS BANK CO LTD,"3,245,271","19,842,170.92","21,712,477.74","1,870,306.82",CHINA,Financials,Banks
INDUSTRIAL & COMMERCIAL BANK O,"24,896,996","16,527,875.83","14,785,362.62","(1,742,513.21)",CHINA,Financials,Banks
CHINA MERCHANTS BANK CO LTD,"2,234,200","14,319,005.73","14,084,107.43","(234,898.30)",CHINA,Financials,Banks
BANK OF CHINA LTD,"29,530,976","12,745,844.98","11,779,348.00","(966,496.98)",CHINA,Financials,Banks
AGRICULTURAL BANK OF CHINA LTD,"21,692,900","10,563,053.87","9,786,319.44","(776,734.43)",CHINA,Financials,Banks
INDUSTRIAL BANK CO LTD,"3,151,040","9,124,586.27","9,367,028.10","242,441.83",CHINA,Financials,Banks
INDUSTRIAL & COMMERCIAL BANK O,"10,335,800","7,648,924.81","7,364,738.09","(284,186.72)",CHINA,Financials,Banks
AGRICULTURAL BANK OF CHINA LTD,"14,662,074","5,981,129.03","5,530,778.07","(450,350.96)",CHINA,Financials,Banks
POSTAL SAVINGS BANK OF CHINA C,"6,498,000","4,764,634.44","5,159,015.92","394,381.48",CHINA,Financials,Banks
BANK OF CHENGDU CO LTD,"1,317,000","3,145,153.59","3,261,858.61","116,705.02",CHINA,Financials,Banks
BANK OF COMMUNICATIONS CO LTD,"4,483,445","2,882,540.05","3,096,779.25","214,239.20",CHINA,Financials,Banks
CHINA CITIC BANK CORP LTD,"5,979,389","3,593,972.18","2,674,625.86","(919,346.32)",CHINA,Financials,Banks
BANK OF COMMUNICATIONS CO LTD,"3,364,700","2,606,582.14","2,503,055.74","(103,526.40)",CHINA,Financials,Banks
BANK OF CHINA LTD,"3,529,200","1,816,779.92","1,718,654.98","(98,124.94)",CHINA,Financials,Banks
BANK OF BEIJING CO LTD,"2,367,300","1,655,267.44","1,605,476.61","(49,790.83)",CHINA,Financials,Banks
BANK OF JIANGSU CO LTD,"1,465,530","1,506,441.35","1,558,725.13","52,283.78",CHINA,Financials,Banks
CHINA MINSHENG BANKING CORP LT,"4,356,732","3,421,429.01","1,554,597.60","(1,866,831.41)",CHINA,Financials,Banks
CHINA CITIC BANK CORP LTD,"2,171,312","1,625,753.16","1,540,673.71","(85,079.45)",CHINA,Financials,Banks
BANK OF SUZHOU CO LTD,"1,458,380","1,458,877.53","1,328,909.38","(129,968.15)",CHINA,Financials,Banks
PING AN BANK CO LTD,"391,575","985,868.93","876,237.02","(109,631.91)",CHINA,Financials,Banks
BANK OF NINGBO CO LTD,"148,500","730,132.29","794,375.07","64,242.78",CHINA,Financials,Banks
BANK OF GUIYANG CO LTD,"757,492","707,061.68","657,429.24","(49,632.44)",CHINA,Financials,Banks
SHANGHAI PUDONG DEVELOPMENT BA,"465,400","738,610.76","556,869.88","(181,740.88)",CHINA,Financials,Banks
CHONGQING RURAL COMMERCIAL BAN,"1,347,000","739,927.55","484,078.52","(255,849.03)",CHINA,Financials,Banks
BANK OF NANJING CO LTD,"256,400","335,849.97","399,098.94","63,248.97",CHINA,Financials,Banks
BANK OF CHANGSHA CO LTD,"294,161","362,066.39","348,460.14","(13,606.25)",CHINA,Financials,Banks
CHINA EVERBRIGHT BANK CO LTD,"926,400","434,253.47","299,868.87","(134,384.60)",CHINA,Financials,Banks
BANK OF SHANGHAI CO LTD,"244,944","308,456.25","239,664.07","(68,792.18)",CHINA,Financials,Banks
